,longrun_skews,longrun_means,longrun_stds,constant,sizes,horizons,equal,value,minvar,riskpar,rand
82,1.2768982632651724,112.82486411309574,80.12989897625685,1.0,29,4.0,1.0,0.0,0.0,0.0,0.0
83,1.450845445773766,253.06132997378845,138.35037506764627,1.0,29,7.0,1.0,0.0,0.0,0.0,0.0
84,1.5553727666689978,509.3606587841337,272.38937612125955,1.0,29,10.0,1.0,0.0,0.0,0.0,0.0
85,1.578698577801482,968.5159331222077,528.9382414711826,1.0,29,13.0,1.0,0.0,0.0,0.0,0.0
86,1.8539887221843354,1647.9644892686015,915.3559648266057,1.0,29,16.0,1.0,0.0,0.0,0.0,0.0
87,1.8839941031318435,2931.7032323196017,1894.2920871898505,1.0,29,19.0,1.0,0.0,0.0,0.0,0.0
88,2.674758488734786,5171.786085499355,3652.0989549131414,1.0,29,22.0,1.0,0.0,0.0,0.0,0.0
89,2.138781694243753,9073.643108223527,6354.040630160176,1.0,29,25.0,1.0,0.0,0.0,0.0,0.0
90,1.1617393563400946,22.330496608936542,30.07253867511408,1.0,32,1.0,1.0,0.0,0.0,0.0,0.0
91,1.2372568674550852,115.79538823112236,79.1808183959128,1.0,32,4.0,1.0,0.0,0.0,0.0,0.0
92,1.680278303606652,256.2559311146482,142.2405277939188,1.0,32,7.0,1.0,0.0,0.0,0.0,0.0
93,1.5323666043663602,509.64406920068177,257.6415707905495,1.0,32,10.0,1.0,0.0,0.0,0.0,0.0
94,2.006701126472616,975.4167008606412,537.8781604254787,1.0,32,13.0,1.0,0.0,0.0,0.0,0.0
95,1.818263485110678,1692.4593944477854,929.1500358752755,1.0,32,16.0,1.0,0.0,0.0,0.0,0.0
96,2.354994619582445,2957.502655585593,1913.1231383406357,1.0,32,19.0,1.0,0.0,0.0,0.0,0.0
97,2.894617248133078,5453.86843167027,4040.133597906651,1.0,32,22.0,1.0,0.0,0.0,0.0,0.0
98,2.452282129742707,9197.396982639968,6288.3269200969235,1.0,32,25.0,1.0,0.0,0.0,0.0,0.0
99,1.9759380966232307,18.295476889577866,50.094577534204525,1.0,2,1.0,0.0,1.0,0.0,0.0,0.0
100,2.6266277522690595,79.89699974689552,147.6217754320969,1.0,2,4.0,0.0,1.0,0.0,0.0,0.0
